metric,percentile,percentile_value,Method,model,NDCG,HR,diversity,DivRatio,ORRatio,category,NDCG_head@5,HR_head@5,NDCG_tail@5,HR_tail@5,Count_Head,Count_Tail,topk,GiniIndex,num_recommended_unique,total_recommendations,num_total_items,coverage
avg_token_logprob_margin,p0,0,Min_avg_token_logprob_margin,epoch1,0.01772810118682831,0.023,585,0.117,0.126,Goodreads,0.025281954303551207,0.03314917127071823,0.0087527352297593,0.010940919037199124,543,457,5,0.9887092060102204,585,5000,13111,0.04461902219510335
avg_token_logprob_margin,p0,0,Min_avg_token_logprob_margin,epoch2,0.01972810118682831,0.026,584,0.1168,0.1226,Goodreads,0.028044385242777733,0.03683241252302026,0.009846827133479213,0.01312910284463895,543,457,5,0.9883917931507894,584,5000,13111,0.0445427503622912
avg_token_logprob_margin,p0,0,Min_avg_token_logprob_margin,final,0.01972810118682831,0.026,585,0.117,0.119,Goodreads,0.028044385242777733,0.03683241252302026,0.009846827133479213,0.01312910284463895,543,457,5,0.9883439859659827,585,5000,13111,0.04461902219510335
avg_token_logprob_margin,p25,25,P25_avg_token_logprob_margin,epoch1,0.01879742462875492,0.024,586,0.1172,0.108,Goodreads,0.02633043209715454,0.03314917127071823,0.009846827133479213,0.01312910284463895,543,457,5,0.988693219434063,586,5000,13111,0.04469529402791549
avg_token_logprob_margin,p25,25,P25_avg_token_logprob_margin,epoch2,0.019484024240491397,0.025,585,0.117,0.0888,Goodreads,0.027803262308023664,0.034990791896869246,0.009599240278412564,0.01312910284463895,543,457,5,0.9884120814583174,585,5000,13111,0.04461902219510335
avg_token_logprob_margin,p25,25,P25_avg_token_logprob_margin,final,0.020728101186828315,0.026,584,0.1168,0.0892,Goodreads,0.0300943800729167,0.03683241252302026,0.009599240278412564,0.01312910284463895,543,457,5,0.988371657386927,584,5000,13111,0.0445427503622912
avg_token_logprob_margin,p50,50,P50_avg_token_logprob_margin,epoch1,0.018928354382326377,0.024,585,0.117,0.1416,Goodreads,0.026571555031908604,0.03314917127071823,0.009846827133479213,0.01312910284463895,543,457,5,0.989022347647014,585,5000,13111,0.04461902219510335
avg_token_logprob_margin,p50,50,P50_avg_token_logprob_margin,epoch2,0.021832989750366915,0.029,648,0.1296,0.1626,Goodreads,0.03117560659728614,0.03867403314917127,0.010732243693742977,0.0175054704595186,543,457,5,0.9875495995728778,648,5000,13111,0.049424147662268325
avg_token_logprob_margin,p50,50,P50_avg_token_logprob_margin,final,0.02192063725204462,0.029,654,0.1308,0.1656,Goodreads,0.030335503007670767,0.03683241252302026,0.011922230019429743,0.019693654266958426,543,457,5,0.9871333689268553,654,5000,13111,0.04988177865914118
avg_token_logprob_margin,p75,75,P75_avg_token_logprob_margin,epoch1,0.01768427743598946,0.023,574,0.1148,0.1364,Goodreads,0.023568001157928023,0.029465930018416207,0.010693332182132477,0.015317286652078774,543,457,5,0.9888489665166654,574,5000,13111,0.04378003203416978
avg_token_logprob_margin,p75,75,P75_avg_token_logprob_margin,epoch2,0.02231520718956092,0.029,641,0.1282,0.1476,Goodreads,0.03117560659728614,0.03867403314917127,0.011787424085852389,0.0175054704595186,543,457,5,0.9870324765464114,641,5000,13111,0.04889024483258333
avg_token_logprob_margin,p75,75,P75_avg_token_logprob_margin,final,0.022815207189560923,0.029,650,0.13,0.144,Goodreads,0.03209641691036165,0.03867403314917127,0.011787424085852389,0.0175054704595186,543,457,5,0.9863642742735108,650,5000,13111,0.04957669132789261
