metric,percentile,percentile_value,Method,model,NDCG,HR,diversity,DivRatio,ORRatio,category,NDCG_head@5,HR_head@5,NDCG_tail@5,HR_tail@5,Count_Head,Count_Tail,topk,GiniIndex,num_recommended_unique,total_recommendations,num_total_items,coverage
ln_ches_score,p0,0,Min_ln_ches_score,final,0.020053347682418003,0.025,577,0.1154,0.118,Goodreads,0.028851740101626996,0.034990791896869246,0.009599240278412564,0.01312910284463895,543,457,5,0.9890408054305545,577,5000,13111,0.044008847532606206
ln_ches_score,p50,50,P50_ln_ches_score,final,0.022989960693971228,0.029,608,0.1216,0.206,Goodreads,0.03333905688165135,0.040515653775322284,0.010693332182132477,0.015317286652078774,543,457,5,0.9883487758370834,608,5000,13111,0.046373274349782626
ln_ches_score,p100,100,Max_ln_ches_score,final,0.019097171433256857,0.023,683,0.1366,0.0962,Goodreads,0.029853257138162632,0.034990791896869246,0.006316964567252825,0.0087527352297593,543,457,5,0.9849890016017085,683,5000,13111,0.05209366181069331
sequence_logprob_margin,p0,0,Min_sequence_logprob_margin,final,0.020297424628754918,0.025,617,0.1234,0.096,Goodreads,0.028851740101626996,0.034990791896869246,0.010133325500156361,0.01312910284463895,543,457,5,0.9873147433452826,617,5000,13111,0.047059720845091906
sequence_logprob_margin,p50,50,P50_sequence_logprob_margin,final,0.025053347682418004,0.031,621,0.1242,0.1192,Goodreads,0.03621822260623105,0.0423572744014733,0.011787424085852389,0.0175054704595186,543,457,5,0.9874264358172526,621,5000,13111,0.04736480817634048
sequence_logprob_margin,p100,100,Max_sequence_logprob_margin,final,0.02025772985496048,0.027,656,0.1312,0.1522,Goodreads,0.02943650873018673,0.03867403314917127,0.009351653423345915,0.01312910284463895,543,457,5,0.9868594920295934,656,5000,13111,0.050034322324765464
