metric,percentile,percentile_value,Method,model,NDCG,HR,diversity,DivRatio,ORRatio,category,NDCG_head@5,HR_head@5,NDCG_tail@5,HR_tail@5,Count_Head,Count_Tail,topk,GiniIndex,num_recommended_unique,total_recommendations,num_total_items,coverage
ln_ches_score,p0,0,Min_ln_ches_score,p0,0.004523719014285829,0.006,693,0.1386,0.0922,MovieLens,0.006594342586422492,0.008746355685131196,0.0,0.0,686,314,5,0.9846013881473572,693,5000,13111,0.05285638013881474
ln_ches_score,p50,50,P50_ln_ches_score,p50,0.008910571821520372,0.011,711,0.1422,0.0838,MovieLens,0.012989171751487422,0.016034985422740525,0.0,0.0,686,314,5,0.9838002898329647,711,5000,13111,0.0542292731294333
ln_ches_score,p100,100,Max_ln_ches_score,p100,0.005910571821520372,0.008,716,0.1432,0.0708,MovieLens,0.008615993908921824,0.011661807580174927,0.0,0.0,686,314,5,0.9844986652429258,716,5000,13111,0.05461063229349401
sequence_logprob_margin,p0,0,Min_sequence_logprob_margin,p0,0.00854150157509183,0.011,712,0.1424,0.1022,MovieLens,0.012451168476810246,0.016034985422740525,0.0,0.0,686,314,5,0.985078331172298,712,5000,13111,0.05430554496224544
sequence_logprob_margin,p50,50,P50_sequence_logprob_margin,p50,0.006910571821520372,0.009,708,0.1416,0.0838,MovieLens,0.01007371985644369,0.013119533527696793,0.0,0.0,686,314,5,0.9840831973152315,708,5000,13111,0.054000457630996875
sequence_logprob_margin,p100,100,Max_sequence_logprob_margin,p100,0.007954395572359222,0.01,705,0.141,0.07,MovieLens,0.009509794481466225,0.011661807580174927,0.004556294770934373,0.006369426751592357,686,314,5,0.9836774311646709,705,5000,13111,0.05377164213256044
